Order,Count,Sum,Mean,SD,Median,Max,Min
Unknown,217,19830435.1498127,91384.4937779389,526755.900796365,378.9387356,6582186.24046242,5.5922029
Oceanospirillales,27,15606513.0126351,578019.000467968,2032063.44908047,2495.41219816,9565537.267961,48.444788401
Alteromonadales,30,6772035.2797804,225734.509326013,1217435.66589069,1883.882565,6671573.3416391,78.40722512
Actinomycetales,612,5873733.7550682,9597.60417494804,62944.5463487648,657.599797705,1246065.37120568,7.479557054
Burkholderiales,294,5433374.6653136,18480.8662085497,177478.098261868,376.973389928,2958978.3124015,10.03682721
Pseudomonadales,204,5080159.76382609,24902.743940324,100233.007211106,1418.96594421,792975.489753477,13.815678676
Rhizobiales,314,4230938.33795856,13474.3259170655,66739.2253789188,723.1336428475,683562.974987129,4.264245418
Lactobacillales,242,2074952.71302063,8574.18476454804,38277.1327708024,968.53550525,443369.436431966,2.638282468
Bacillales,237,1532395.52208057,6465.80389063533,26962.3045355659,732.007004,342892.387775652,1.4343825454
Streptophyta,73,1454428.00879585,19923.6713533678,63054.7204893382,1247.70947971,361516.824214164,24.41885882
Flavobacteriales,117,1411102.31287832,12060.7035288746,42681.6948608925,910.8045104,284938.078441619,3.828483112
Enterobacteriales,110,1301171.48161015,11828.8316510014,43066.7358404983,1235.3686652,308185.310645423,27.2287332
Sphingomonadales,196,1190177.58435282,6072.33461404502,26266.8254359779,541.257219715,227125.557418917,5.254984634
Clostridiales,321,984617.715419371,3067.34490784851,15743.401920475,407.937725,246154.428828403,7.043075972
Xanthomonadales,65,978383.737950456,15052.0575069301,63372.0338628552,392.7406392,497209.986763066,33.59632628
Bacteroidales,111,867995.391721722,7819.7783037993,29095.7455381831,588.2883354,216998.847958421,3.06672469
Fusobacteriales,40,572615.666775502,14315.3916693876,35683.7114277609,605.4025865,143153.916696916,4.091766916
Rhodobacterales,103,570132.703625564,5535.26896723849,19556.1397017518,331.12737424,120582.273693219,7.820059684
Caulobacterales,58,418144.30980825,7209.38465186638,17561.7020719334,955.1234255045,89663.347125353,20.46723656
Saprospirales,29,378380.053754076,13047.5880604854,53530.9024192663,602.0238236,289729.321009116,13.06720778
Rhodospirillales,77,367594.894149631,4773.95966428092,13473.3720205713,751.012554593,91546.218924697,6.141851366
Euzebyales,5,219161.189754164,43832.2379508328,24246.0527792109,54790.297438191,54790.297438191,461.0505028
Cytophagales,60,144119.147293309,2401.98578822182,6623.08416290007,509.2794479,36029.786821598,2.730645272
Myxococcales,32,137472.357479298,4296.01117122806,14774.0571756845,355.048292195,82688.097499709,4.66485267
Vibrionales,18,125523.918622144,6973.55103456356,9577.57887864673,1993.04704905,31380.979656486,34.9993079
Sphingobacteriales,47,121468.378321554,2584.43358130966,5287.42342576497,627.56572242,28386.709317794,8.711471852
Neisseriales,44,114700.522716554,2606.83006173987,6476.16544431745,557.2928371925,28675.130679386,48.8536128
Rhodocyclales,20,110332.860658718,5516.6430329359,8748.22145093004,849.703922375,25358.438316852,41.17390318
Aeromonadales,20,95875.9242519344,4793.79621259672,8346.50317076305,1270.108171805,23968.9810622201,34.22220074
Rickettsiales,19,86116.572082811,4532.45116225321,18393.5495370903,130.5579238,80473.991398287,15.905334081
Bifidobacteriales,17,81343.5024062264,4784.91190624861,8284.12682014984,246.1684854,20335.8756007891,39.81848718
Pasteurellales,21,75632.323872929,3601.53923204424,6477.0603628595,1006.12661617,27087.245121034,10.549744334
Deinococcales,16,63244.41940322,3952.77621270125,3686.51705159163,2824.90710398,10607.92990636,136.4208575
Coriobacteriales,15,53322.93079673,3554.86205311533,2897.4483033444,3709.9763235,8261.19341756,92.49817086
Gemellales,28,37077.784629293,1324.20659390332,2218.7321242369,451.2927205,9269.446157565,16.384006096
Campylobacterales,19,29407.340604513,1547.75476865858,2323.9057679322,565.7091738,7351.83515154,76.35927248
Sphaerobacterales,15,23225.258878741,1548.35059191607,2260.46197701766,438.812979444,5806.314719785,14.036449522
CW040,7,20419.52870094,2917.07552870571,1862.21931385787,4145.28535001,5104.88217471,959.5968254
EW055,8,20187.3904068,2523.42380085,2062.36018372566,2371.66087355,5046.8476017,303.5258546
Acidimicrobiales,30,19965.425623996,665.514187466533,741.205380330168,348.83401084,2456.86834188,49.27427952
I025,11,14663.207736952,1333.01888517745,1133.3227443636,1312.9230998,3665.801934038,71.1388877
Gemmatimonadales,9,14477.99411419,1608.66601268778,1652.69460339405,663.1278006,3619.4985284,4.66485267
Thermales,12,13173.298105568,1097.77484213067,1112.98800860694,587.5303698285,2870.273717827,189.24611842
Hydrogenophilales,5,11864.163471972,2372.8326943944,982.653853193569,2966.040867943,2966.040867943,700.967094443
Rubrobacterales,7,11716.32821481,1673.76117354429,1250.70042602902,1372.0219512,2929.08205377,28.15015106
Erysipelotrichales,18,11607.472721526,644.859595640333,907.806885344127,323.807729395,2894.87090158,6.997279004
Turicibacterales,4,8337.83545596,2084.45886399,0,2084.45886399,2084.45886399,2084.45886399
Methylophilales,6,6285.1355508,1047.5225918,661.597619200056,1369.9319753,1571.2838877,201.3519124
Chthoniobacterales,6,5776.7231128,962.787185466667,560.504699129113,1189.9600866,1444.1807782,254.2206916
Oscillatoriales,6,5564.177084816,927.362847469333,373.029526022128,808.1650984,1391.044271204,582.879172804
Gemmatales,12,5558.74199197,463.228499330833,520.052075149972,187.926268175,1389.685498,41.22547828
Ellin6513,6,5350.10962416,891.68493736,629.257177528054,1256.8743339,1337.52740606,80.65307212
Bdellovibrionales,9,5143.96386178,571.551540197778,444.246763844314,669.78258858,1041.38748176,16.71975726
Chroococcales,6,5059.30033305,843.216722175,565.096827789969,1136.806791725,1264.82508325,47.4587189
iii1-15,12,4943.1383665448,411.928197212067,404.175870581473,294.00426262,1047.00784267,24.9260501
Chromatiales,11,4802.86727388,436.624297625455,432.773281327574,169.18622108,1200.71681853,67.24867016
Spirochaetales,7,4496.187935148,642.312562164,519.800191170203,795.2837598,1124.04698379,10.442797978
Selenomonadales,6,3646.6568048,607.776134133333,323.321879579208,703.6431764,911.6642012,208.0210248
Cardiobacteriales,6,3397.43456977,566.239094961667,352.129548133214,688.735104014,849.358642428,4.091766916
MND1,12,3347.48490262,278.957075218333,296.113778824001,178.40213466,836.87122566,22.7622329
Solibacterales,7,3183.58049788,454.797213982857,174.443731147534,507.6535348,666.21681,124.26493076
RB41,9,2953.83822758,328.204247508889,252.137563043214,135.48925712,738.45955688,107.50824408
Gaiellales,9,2549.70159521,283.300177245556,274.712059910009,201.0742768,637.4253988,20.54221266
Stramenopiles,8,2044.4411013,255.5551376625,201.057552020904,241.63880349,511.11027535,27.83266832
Armatimonadales,4,1835.0742144,458.7685536,0,458.7685536,458.7685536,458.7685536
Nitrosomonadales,4,1788.8709664,447.2177416,0,447.2177416,447.2177416,447.2177416
Ellin6067,7,1342.3318424,191.761691771429,145.613181844807,236.3387648,335.58296057,24.53065094
Cryptophyta,4,1273.8873384,318.4718346,0,318.4718346,318.4718346,318.4718346
Mycoplasmatales,4,1254.4699248,313.6174812,0,313.6174812,313.6174812,313.6174812
Planctomycetales,9,1209.54256828,134.393618697778,106.451620140025,92.7119632,302.38564205,32.5008896
Nostocales,4,1206.3669384,301.5917346,0,301.5917346,301.5917346,301.5917346
Verrucomicrobiales,5,1056.81457925,211.36291585,79.9365367416534,264.20364481,264.20364481,84.04805124
Solirubrobacterales,7,1034.47680901,147.782401287143,98.3851456273172,214.6965232,258.61920223,43.92267906
Acidobacteriales,6,1025.589921688,170.931653614667,115.004031427213,134.897480422,338.667755562,39.22972486
BD7-3,4,856.04147052,214.01036763,0,214.01036763,214.01036763,214.01036763
Thiotrichales,4,822.1381304,205.5345326,0,205.5345326,205.5345326,205.5345326
GIF10,4,778.01796264,194.50449066,0,194.50449066,194.50449066,194.50449066
0319-7L14,8,749.543249524,93.6929061905,67.2928634370016,88.74460682,187.385812374,9.896598748
Desulfovibrionales,4,633.98746296,158.49686574,0,158.49686574,158.49686574,158.49686574
SC-I-84,8,562.47289285,70.30911160625,51.7233825927096,67.97668527,140.618223215,4.66485267
AKIW781,4,516.86618024,129.21654506,0,129.21654506,129.21654506,129.21654506
RF39,4,496.90959168,124.22739792,0,124.22739792,124.22739792,124.22739792
Caldilineales,4,218.04405696,54.51101424,0,54.51101424,54.51101424,54.51101424
Opitutales,6,203.274737875,33.8791229791667,18.9483969909929,36.4756109035,50.818684467,10.277007594
Nitrospirales,6,165.429593864,27.5715989773333,12.0268765691059,26.86505514,41.357398464,14.492343328
Pedosphaerales,7,158.829802972,22.6899718531429,14.886177209943,32.71017174,39.70745074,6.997279004
PHOS-HD29,4,149.74362568,37.43590642,0,37.43590642,37.43590642,37.43590642
Syntrophobacterales,4,140.31973016,35.07993254,0,35.07993254,35.07993254,35.07993254
Anaerolineales,4,128.52695416,32.13173854,0,32.13173854,32.13173854,32.13173854
Fimbriimonadales,4,50.035505328,12.508876332,0,12.508876332,12.508876332,12.508876332
