Phylum,Count,Sum,Mean,SD,Median,Max,Min
Proteobacteria,1776,48814044.6294457,27485.3854895527,323398.445530068,646.003886031,9565537.267961,4.091766916
Actinobacteria,717,8949414.14514687,12481.7491564113,90077.6609066726,637.5145994,1342918.64579388,7.479557054
Firmicutes,862,6747803.0809922,7828.07782017656,52535.2626006548,577.661751595,1047583.69042913,1.4343825454
Unknown,1,6582186.24046242,6582186.24046242,0,6582186.24046242,6582186.24046242,6582186.24046242
Bacteroidetes,370,4100097.49545432,11081.344582309,47987.8401007103,644.4847924,588516.105762039,2.730645272
Cyanobacteria,110,2208499.02978895,20077.2639071722,70169.3807457824,874.1831992,366689.719624164,24.41885882
Fusobacteria,42,858923.500169334,20450.5595278413,44523.932259094,666.228434515,143153.916696916,4.091766916
TM7,73,160123.257807532,2193.46928503469,4564.21360851791,754.938436,26687.209637458,15.891595602
Thermi,18,80869.221745422,4492.73454141233,4779.62831226703,2840.3902008935,13478.203624187,136.4208575
Chloroflexi,62,56829.617728505,916.606737556532,1814.42724074594,140.45246844,9471.602954251,6.997279004
Deinococcus-Thermus,14,33757.3545169,2411.23960835,2409.66009890977,1181.933710235,5626.22575258,189.24611842
Acidobacteria,46,25067.0046909968,544.934884586887,641.231309721662,374.2344491624,3805.374026332,24.9260501
Gemmatimonadetes,11,21716.99117099,1974.27192463545,1687.23874771271,2277.012436,3619.4985284,4.66485267
Verrucomicrobia,29,10793.463349321,372.188391355896,559.771226866728,50.818684467,1798.910558207,6.997279004
Planctomycetes,28,10311.25664326,368.259165830714,538.377426411153,92.7119632,1718.54277386,26.47163382
Spirochaetes,9,6744.281902728,749.364655858667,497.763520851323,1124.04698379,1124.04698379,10.442797978
GN02,8,3217.50691448,402.18836431,166.00381854521,457.594944005,536.25115241,157.31241682
Armatimonadetes,11,2827.664579526,257.060416320545,234.168117101777,458.7685536,471.277429866,12.508876332
FBP,8,2661.86647112,332.73330889,138.489771442658,380.06573402,443.64441184,127.15735568
Tenericutes,10,2627.0692748,262.70692748,128.417921294445,313.6174812,437.84487916,124.22739792
SBR1093,6,1905.7581528,317.6263588,0,317.6263588,317.6263588,317.6263588
WPS-2,6,1430.883534,238.480589,0,238.480589,238.480589,238.480589
BRC1,6,1242.2704332,207.0450722,3.11344227557792e-14,207.0450722,207.0450722,207.0450722
OD1,6,1185.86561448,197.64426908,0,197.64426908,197.64426908,197.64426908
OP3,6,1167.02694396,194.50449066,0,194.50449066,194.50449066,194.50449066
MVP-21,6,961.17489648,160.19581608,0,160.19581608,160.19581608,160.19581608
Chlorobi,6,824.42332644,137.40388774,0,137.40388774,137.40388774,137.40388774
Nitrospirae,8,248.144390792,31.018048849,12.0017927308049,34.111226802,41.357398464,14.492343328
